,province,population,total_confirmed,total_recovered,total_deaths,total_active
0,DKI JAKARTA,10557800,91337,75881,1970,13486
1,JAWA TIMUR,39698600,48161,41782,3499,2880
2,JAWA BARAT,49316700,29119,19097,559,9463
3,JAWA TENGAH,34718200,27864,22254,1560,4050
4,SULAWESI SELATAN,8851200,17179,14489,442,2248
5,SUMATERA UTARA,14562500,11686,9286,489,1911
6,KALIMANTAN SELATAN,4244100,11261,9874,447,940
7,KALIMANTAN TIMUR,3721400,11212,8061,431,2720
8,RIAU,6971700,10824,6603,249,3972
9,BALI,4336900,10513,9273,340,900
10,SUMATERA BARAT,5441200,9766,5352,182,4232
11,PAPUA,3379300,8099,4420,113,3566
12,BANTEN,12927300,7350,5605,219,1526
13,SUMATERA SELATAN,8470700,7005,5269,387,1349
14,ACEH,5371500,6077,4187,219,1671
15,SULAWESI UTARA,2507000,4868,4072,183,613
16,KALIMANTAN TENGAH,2714900,4014,3366,144,504
17,SULAWESI TENGGARA,2704700,3902,2472,67,1363
18,NUSA TENGGARA BARAT,5070400,3613,2951,208,454
19,MALUKU,1802900,3471,2470,42,959
20,PAPUA BARAT,959600,3235,2394,45,796
21,DAERAH ISTIMEWA YOGYAKARTA,3842900,3216,2471,85,660
22,GORONTALO,1202600,2960,2758,79,123
23,KEPULAUAN RIAU,2189700,2699,2175,68,456
24,MALUKU UTARA,1255800,2115,1892,74,149
25,KALIMANTAN BARAT,5069100,1357,1138,9,210
26,LAMPUNG,8447700,1221,786,47,388
27,SULAWESI BARAT,1380300,939,693,12,234
28,JAMBI,3624600,916,321,18,577
29,BENGKULU,1991800,832,684,39,109
30,KALIMANTAN UTARA,742200,673,588,5,80
31,SULAWESI TENGAH,3054000,617,413,25,179
32,NUSA TENGGARA TIMUR,5456200,575,369,7,199
33,KEPULAUAN BANGKA BELITUNG,1488800,484,412,6,66
34,IRIAN JAYA TENGAH,3379300,8099,4420,113,3566
